 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 29, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\17F_CF4_60mbar.txt

 Ion = Fluorine [9] , Mass = 17 amu

 Target Density =  2.2000E-04 g/cm3 = 7.5272E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    020.00    013.65   
      F      9    080.00    086.35   
 ====================================
 Bragg Correction = -2.62%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  65.00 MeV   1.226E-01  7.056E-05  412.08 mm    13.70 mm     5.92 mm  
  70.00 MeV   1.177E-01  6.610E-05  453.69 mm    14.94 mm     6.21 mm  
  80.00 MeV   1.088E-01  5.875E-05  542.04 mm    19.53 mm     6.83 mm  
  90.00 MeV   1.011E-01  5.294E-05  637.35 mm    23.78 mm     7.50 mm  
 100.00 MeV   9.441E-02  4.822E-05  739.67 mm    27.89 mm     8.23 mm  
 110.00 MeV   8.852E-02  4.431E-05  849.03 mm    31.94 mm     9.01 mm  
 120.00 MeV   8.332E-02  4.101E-05  965.44 mm    35.99 mm     9.84 mm  
 130.00 MeV   7.870E-02  3.819E-05    1.09 m     40.06 mm    10.73 mm  
 140.00 MeV   7.456E-02  3.575E-05    1.22 m     44.17 mm    11.66 mm  
 150.00 MeV   7.084E-02  3.362E-05    1.36 m     48.33 mm    12.65 mm  
 160.00 MeV   6.748E-02  3.174E-05    1.50 m     52.55 mm    13.69 mm  
 170.00 MeV   6.442E-02  3.007E-05    1.65 m     56.82 mm    14.78 mm  
 180.00 MeV   6.163E-02  2.857E-05    1.81 m     61.17 mm    15.92 mm  
 200.00 MeV   5.671E-02  2.600E-05    2.15 m     77.80 mm    18.35 mm  
 225.00 MeV   5.157E-02  2.340E-05    2.61 m    101.80 mm    21.68 mm  
 250.00 MeV   4.730E-02  2.129E-05    3.12 m    124.64 mm    25.31 mm  
 275.00 MeV   4.369E-02  1.954E-05    3.67 m    147.11 mm    29.25 mm  
 300.00 MeV   4.063E-02  1.807E-05    4.26 m    169.57 mm    33.50 mm  
 325.00 MeV   3.800E-02  1.681E-05    4.90 m    192.18 mm    38.04 mm  
 350.00 MeV   3.575E-02  1.573E-05    5.58 m    215.02 mm    42.89 mm  
 375.00 MeV   3.382E-02  1.478E-05    6.29 m    238.10 mm    48.01 mm  
 400.00 MeV   3.216E-02  1.394E-05    7.05 m    261.39 mm    53.41 mm  
 450.00 MeV   2.956E-02  1.254E-05    8.67 m    348.27 mm    64.97 mm  
 500.00 MeV   2.775E-02  1.140E-05   10.42 m    427.40 mm    77.36 mm  
 550.00 MeV   2.586E-02  1.046E-05   12.29 m    502.88 mm    90.53 mm  
 600.00 MeV   2.411E-02  9.664E-06   14.29 m    577.72 mm   104.55 mm  
 650.00 MeV   2.261E-02  8.987E-06   16.43 m    652.92 mm   119.44 mm  
 700.00 MeV   2.130E-02  8.403E-06   18.71 m    728.76 mm   135.19 mm  
 800.00 MeV   1.915E-02  7.443E-06   23.66 m      1.01 m    169.25 mm  
 900.00 MeV   1.743E-02  6.687E-06   29.13 m      1.28 m    206.61 mm  
   1.00 GeV   1.604E-02  6.076E-06   35.11 m      1.53 m    247.16 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  4.5456E+01                keV / (ug/cm2) 
  4.5456E+01                MeV / (mg/cm2) 
  4.5456E+04                keV / (mg/cm2) 
  1.3285E+03                 eV / (1E15 atoms/cm2)
  1.2294E+01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
