============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  O(76.5 MeV) ==> Mylar_IC+CF4_IC+Mylar_CF( 45.6 mm) =======
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  175  8 .6089139E+08   4561631E+02  .1433E+07 -.6829E+06   .9999890  .0044276 -.0015228
T  176  8 .6085387E+08   4561631E+02  .2555E+07 -.1123E+06   .9999795  .0063972  .0003276
T  177  8 .6086058E+08   4561630E+02  .5553E+06 -.1802E+07   .9999646  .0034762 -.0076651
T  178  8 .6086645E+08   4561630E+02 -.1425E+06 -.9952E+06   .9999851 -.0009498 -.0053765
T  179  8 .6068881E+08   4561630E+02 -.1365E+07 -.7878E+06   .9999918  .0028180  .0029156
T  180  8 .6072691E+08   4561631E+02  .9229E+06  .1831E+07   .9999946  .0000173  .0032916
T  181  8 .6109064E+08   4561630E+02 -.1296E+07  .2064E+07   .9999942 -.0011356  .0032223
T  182  8 .6084860E+08   4561630E+02  .1649E+07  .1255E+06   .9999909  .0042485 -.0004596
T  183  8 .6096616E+08   4561630E+02  .8507E+06 -.9897E+06   .9999938  .0015428 -.0031784
T  184  8 .6092079E+08   4561630E+02 -.1984E+07  .3563E+06   .9999844 -.0051471  .0021708
T  185  8 .6091086E+08   4561631E+02 -.1320E+07 -.4720E+06   .9999960 -.0020538 -.0019531
T  186  8 .6078384E+08   4561630E+02  .6337E+06  .5630E+05   .9999964  .0021605 -.0015661
T  187  8 .6092540E+08   4561631E+02  .2002E+07  .1111E+07   .9999732  .0069320  .0023577
T  188  8 .6084599E+08   4561631E+02  .9059E+06 -.1461E+07   .9999432  .0098962 -.0039580
T  189  8 .6082821E+08   4561630E+02  .4347E+06  .1010E+07   .9999992  .0011511  .0005116
T  190  8 .6103369E+08   4561631E+02  .5583E+05 -.9699E+06   .9999803 -.0032115 -.0053946
T  191  8 .6083295E+08   4561630E+02  .1097E+07  .3377E+06   .9999910  .0041822  .0007713
T  192  8 .6084514E+08   4561631E+02 -.1992E+07 -.3456E+05   .9999915 -.0040660 -.0006571
T  193  8 .6065391E+08   4561630E+02 -.6075E+06 -.1871E+07   .9999670 -.0011054 -.0080538
