 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> August 17, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\4He_H2-iC4H10_95-5_650mbar.txt

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  1.2900E-04 g/cm3 = 4.1898E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    019.23    010.45   
      C      6    007.69    049.82   
      H      1    073.08    039.73   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  50.00 MeV   3.056E-03  2.247E-06    8.96 m    376.44 mm    74.67 mm  
  55.00 MeV   2.822E-03  2.060E-06   10.66 m    447.35 mm    88.54 mm  
  60.00 MeV   2.624E-03  1.903E-06   12.50 m    517.86 mm   103.45 mm  
  65.00 MeV   2.454E-03  1.769E-06   14.47 m    588.63 mm   119.40 mm  
  70.00 MeV   2.306E-03  1.653E-06   16.57 m    660.02 mm   136.36 mm  
  80.00 MeV   2.063E-03  1.463E-06   21.15 m    926.44 mm   173.29 mm  
  90.00 MeV   1.870E-03  1.314E-06   26.24 m      1.17 m    214.13 mm  
 100.00 MeV   1.712E-03  1.193E-06   31.83 m      1.42 m    258.77 mm  
 110.00 MeV   1.582E-03  1.093E-06   37.90 m      1.66 m    307.13 mm  
 120.00 MeV   1.472E-03  1.010E-06   44.45 m      1.90 m    359.11 mm  
 130.00 MeV   1.377E-03  9.381E-07   51.48 m      2.15 m    414.65 mm  
 140.00 MeV   1.296E-03  8.764E-07   58.96 m      2.40 m    473.67 mm  
 150.00 MeV   1.224E-03  8.226E-07   66.90 m      2.65 m    536.11 mm  
 160.00 MeV   1.161E-03  7.752E-07   75.28 m      2.90 m    601.89 mm  
 170.00 MeV   1.105E-03  7.332E-07   84.11 m      3.16 m    670.97 mm  
 180.00 MeV   1.054E-03  6.957E-07   93.37 m      3.43 m    743.28 mm  
 200.00 MeV   9.677E-04  6.314E-07  113.17 m      4.43 m    897.43 mm  
 225.00 MeV   8.800E-04  5.665E-07  140.25 m      5.86 m      1.11 m   
