============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  F(76.5 MeV) ==> Mylar_IC+Carbon Tetraflu( 36.0 mm) =======
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  135  9 .6135891E+08   3601150E+02  .3559E+06 -.2797E+07   .9999753 -.0002040 -.0070225
T  136  9 .6109826E+08   3601150E+02 -.4297E+06 -.7982E+06   .9999949 -.0021752 -.0023286
T  137  9 .6114893E+08   3601150E+02 -.3876E+07 -.3255E+07   .9999300 -.0079851 -.0087349
T  138  9 .6148078E+08   3601150E+02 -.6654E+06  .1004E+07   .9999426 -.0021465  .0104989
T  139  9 .6126651E+08   3601150E+02  .2055E+07  .1086E+07   .9999738  .0061105  .0038931
T  140  9 .6131519E+08   3601150E+02  .1579E+06  .8340E+06   .9999971  .0010594  .0021775
T  141  9 .6129512E+08   3601150E+02 -.2397E+07  .1078E+07   .9999478 -.0100821  .0016482
T  142  9 .6121478E+08   3601150E+02  .1641E+07 -.2490E+07   .9999608  .0058012 -.0066921
T  143  9 .6130514E+08   3601150E+02  .1312E+07  .1109E+07   .9999898  .0035868  .0027302
T  144  9 .6120289E+08   3601150E+02 -.3745E+07  .9807E+06   .9999568 -.0087807  .0030535
T  145  9 .6130887E+08   3601150E+02  .1987E+07  .5505E+06   .9999814  .0058696  .0016559
T  146  9 .6127020E+08   3601150E+02  .2380E+07  .2339E+07   .9999616  .0037921  .0079008
