============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  F(76.5 MeV) ==> Mylar_IC+CF4_IC+Mylar_CF( 45.6 mm) =======
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  116  9 .5650155E+08   4561631E+02 -.1251E+07  .1361E+07   .9999420  .0037191  .0101036
T  117  9 .5631589E+08   4561631E+02 -.2587E+07 -.2241E+07   .9999566 -.0060448 -.0070959
T  118  9 .5648270E+08   4561631E+02 -.3675E+07  .2462E+06   .9999587 -.0088508  .0020692
T  119  9 .5654731E+08   4561630E+02  .3320E+06 -.1931E+07   .9999925  .0037527 -.0010080
T  120  9 .5665726E+08   4561631E+02 -.2519E+07  .4090E+05   .9999605 -.0082387 -.0033289
T  121  9 .5648865E+08   4561630E+02  .2445E+06 -.1494E+07   .9999967 -.0011495 -.0023056
T  122  9 .5646295E+08   4561631E+02  .6745E+06  .2500E+06   .9999837  .0041405  .0039254
T  123  9 .5643385E+08   4561631E+02 -.1870E+07  .5130E+06   .9999514 -.0092191 -.0034858
T  124  9 .5650256E+08   4561630E+02  .6509E+06  .7456E+06   .9999996 -.0008461  .0003639
T  125  9 .5678057E+08   4561630E+02 -.1575E+07 -.1428E+07   .9999918 -.0039299 -.0009361
T  126  9 .5632519E+08   4561630E+02 -.1007E+07 -.2151E+07   .9999471 -.0037388 -.0095819
T  127  9 .5652084E+08   4561630E+02 -.1915E+07 -.2463E+07   .9999756 -.0040645 -.0056793
T  128  9 .5645297E+08   4561630E+02  .1467E+07  .3659E+06   .9999875  .0047294  .0016223
T  129  9 .5636298E+08   4561630E+02  .2555E+06 -.9225E+06   .9999998 -.0005505  .0000453
T  130  9 .5660084E+08   4561630E+02 -.1249E+07  .3283E+05   .9999916 -.0040729 -.0005453
T  131  9 .5657292E+08   4561630E+02 -.3436E+07 -.3849E+07   .9999244 -.0086752 -.0087130
T  132  9 .5653012E+08   4561630E+02  .6795E+06 -.4233E+06   .9999899  .0044330  .0007984
T  133  9 .5665430E+08   4561630E+02 -.7937E+05 -.5926E+06   .9999933 -.0030519 -.0020228
T  134  9 .5624154E+08   4561630E+02 -.3566E+07  .1486E+07   .9999303 -.0100119  .0062533
T  135  9 .5663547E+08   4561630E+02 -.1601E+07 -.1360E+07   .9999505 -.0098793 -.0012231
T  136  9 .5618421E+08   4561631E+02  .2900E+07  .1129E+08   .9997679  .0075226  .0201900
T  137  9 .5675313E+08   4561631E+02  .1253E+06 -.3244E+07   .9999340 -.0033470 -.0109912
T  138  9 .5636907E+08   4561630E+02  .6870E+06 -.1303E+07   .9999826  .0058337 -.0009103
T  139  9 .5677466E+08   4561630E+02  .2320E+06 -.1142E+07   .9999122  .0029864 -.0129116
T  140  9 .5629693E+08   4561631E+02 -.9133E+06 -.4199E+07   .9999093 -.0013854 -.0133965
T  141  9 .5658241E+08   4561630E+02 -.4180E+06  .4402E+07   .9997980  .0035466  .0197848
T  142  9 .5650047E+08   4561630E+02  .3757E+07  .4511E+07   .9999063  .0107155  .0085131
T  143  9 .5631482E+08   4561630E+02  .8193E+06  .2671E+07   .9999817  .0011617  .0059421
T  144  9 .5653286E+08   4561631E+02  .7366E+06 -.3055E+06   .9999933  .0032018 -.0017616
T  145  9 .5663158E+08   4561630E+02  .3965E+06 -.1280E+07   .9999892 -.0003197 -.0046471
T  146  9 .5661022E+08   4561630E+02 -.3388E+06 -.9016E+06   .9999931  .0012815 -.0034936
T  147  9 .5632677E+08   4561630E+02 -.9446E+05  .6170E+07   .9996534 -.0010574  .0263042
T  148  9 .5676630E+08   4561630E+02  .1251E+07  .3522E+05   .9999944  .0033362  .0000314
T  149  9 .5664547E+08   4561631E+02 -.8969E+07  .1627E+07   .9997143 -.0236183  .0036714
T  150  9 .5612792E+08   4561630E+02 -.2994E+08  .1599E+08   .9971947 -.0679769  .0313356
T  151  9 .5678446E+08   4561630E+02 -.7979E+06  .6243E+06   .9999830 -.0047543  .0033661
T  152  9 .5644002E+08   4561630E+02  .7244E+06 -.4009E+07   .9999551 -.0001577 -.0094753
T  153  9 .5662635E+08   4561630E+02  .1152E+07 -.2360E+07   .9999777  .0039179 -.0054052
T  154  9 .5639469E+08   4561630E+02  .2295E+07  .1248E+07   .9999693  .0076980  .0014789
T  155  9 .5635733E+08   4561630E+02 -.1305E+07  .2981E+07   .9999669 -.0030153  .0075519
