============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  O(76.5 MeV) ==> Mylar_IC+Carbon Tetraflu( 36.0 mm) =======
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  314  8 .6469851E+08   3601150E+02  .1176E+06  .8064E+06   .9999911  .0033939  .0024916
T  315  8 .6447023E+08   3601150E+02  .1047E+06  .1461E+07   .9999925  .0000753  .0038765
T  316  8 .6446413E+08   3601150E+02 -.6350E+06 -.2698E+06   .9999992 -.0012628  .0000754
T  317  8 .6459161E+08   3601150E+02 -.2178E+06  .1799E+07   .9999689 -.0032774  .0071686
T  318  8 .6446506E+08   3601150E+02 -.1962E+07 -.2198E+06   .9999798 -.0062957 -.0008643
T  319  8 .6473293E+08   3601150E+02  .2012E+07  .3013E+07   .9999275  .0074314  .0094744
T  320  8 .6439263E+08   3601150E+02 -.2969E+06  .9784E+06   .9999968 -.0006761  .0024184
T  321  8 .6462117E+08   3601150E+02  .1355E+07 -.7562E+06   .9999901  .0037601 -.0023700
T  322  8 .6437740E+08   3601150E+02 -.1645E+06  .4505E+06   .9999975 -.0009840  .0019970
T  323  8 .6461086E+08   3601150E+02 -.7092E+06 -.1452E+07   .9999730 -.0016611 -.0071572
T  324  8 .6467188E+08   3601150E+02 -.2686E+07 -.2968E+07   .9999410 -.0089148 -.0061999
T  325  8 .6460499E+08   3601150E+02  .6615E+06 -.8555E+06   .9999913  .0024920 -.0033339
T  326  8 .6469854E+08   3601150E+02 -.1679E+06 -.1373E+07   .9999940 -.0013568 -.0031954
T  327  8 .6459712E+08   3601150E+02 -.1014E+06  .3315E+07   .9999417  .0014200  .0107083
T  328  8 .6463707E+08   3601150E+02  .1027E+07 -.8599E+06   .9999903  .0035440 -.0026004
T  329  8 .6445625E+08   3601150E+02 -.1443E+07 -.8289E+05   .9999809 -.0061524 -.0005754
T  330  8 .6445652E+08   3601150E+02 -.2858E+07  .2392E+07   .9999469 -.0077652  .0067714
T  331  8 .6444429E+08   3601150E+02  .7425E+06 -.1345E+07   .9999908  .0009940 -.0041712
T  332  8 .6465439E+08   3601150E+02 -.2012E+07 -.3357E+06   .9999748 -.0070762 -.0004849
T  333  8 .6445460E+08   3601150E+02  .7224E+06 -.2622E+06   .9999555  .0076698 -.0054959
T  334  8 .6450671E+08   3601150E+02 -.7581E+06  .1267E+07   .9999882 -.0028881  .0039188
T  335  8 .6453545E+08   3601150E+02 -.8838E+06  .9668E+06   .9999919 -.0023011  .0033006
