 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 29, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\20Na_CF4_70mbar.txt.txt

 Ion = Sodium [11] , Mass = 20 amu

 Target Density =  2.5000E-04 g/cm3 = 8.5537E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    020.00    013.65   
      F      9    080.00    086.35   
 ====================================
 Bragg Correction = -2.62%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  50.00 MeV   2.292E-01  1.707E-04  198.32 mm     6.49 mm     4.52 mm  
  55.00 MeV   2.197E-01  1.571E-04  220.59 mm     7.23 mm     4.65 mm  
  60.00 MeV   2.109E-01  1.456E-04  243.80 mm     7.96 mm     4.78 mm  
  65.00 MeV   2.027E-01  1.358E-04  267.97 mm     8.68 mm     4.92 mm  
  70.00 MeV   1.952E-01  1.272E-04  293.09 mm     9.40 mm     5.07 mm  
  80.00 MeV   1.816E-01  1.131E-04  346.19 mm    12.07 mm     5.38 mm  
  90.00 MeV   1.700E-01  1.020E-04  403.08 mm    14.54 mm     5.73 mm  
 100.00 MeV   1.598E-01  9.295E-05  463.74 mm    16.91 mm     6.10 mm  
 110.00 MeV   1.510E-01  8.544E-05  528.08 mm    19.24 mm     6.51 mm  
 120.00 MeV   1.432E-01  7.911E-05  596.06 mm    21.54 mm     6.94 mm  
 130.00 MeV   1.364E-01  7.370E-05  667.59 mm    23.83 mm     7.39 mm  
 140.00 MeV   1.302E-01  6.901E-05  742.60 mm    26.12 mm     7.88 mm  
 150.00 MeV   1.247E-01  6.491E-05  821.03 mm    28.42 mm     8.39 mm  
 160.00 MeV   1.198E-01  6.130E-05  902.83 mm    30.72 mm     8.93 mm  
 170.00 MeV   1.152E-01  5.808E-05  987.92 mm    33.03 mm     9.49 mm  
 180.00 MeV   1.111E-01  5.520E-05    1.08 m     35.36 mm    10.07 mm  
 200.00 MeV   1.037E-01  5.025E-05    1.26 m     44.17 mm    11.31 mm  
 225.00 MeV   9.595E-02  4.524E-05    1.51 m     56.72 mm    12.98 mm  
 250.00 MeV   8.930E-02  4.117E-05    1.78 m     68.47 mm    14.78 mm  
 275.00 MeV   8.351E-02  3.781E-05    2.07 m     79.87 mm    16.71 mm  
 300.00 MeV   7.841E-02  3.497E-05    2.38 m     91.14 mm    18.76 mm  
 325.00 MeV   7.387E-02  3.255E-05    2.71 m    102.40 mm    20.93 mm  
 350.00 MeV   6.980E-02  3.046E-05    3.06 m    113.74 mm    23.22 mm  
 375.00 MeV   6.615E-02  2.863E-05    3.43 m    125.19 mm    25.63 mm  
 400.00 MeV   6.288E-02  2.701E-05    3.81 m    136.79 mm    28.17 mm  
 450.00 MeV   5.733E-02  2.430E-05    4.65 m    180.75 mm    33.60 mm  
 500.00 MeV   5.299E-02  2.210E-05    5.55 m    221.90 mm    39.49 mm  
 550.00 MeV   4.974E-02  2.028E-05    6.53 m    261.43 mm    45.79 mm  
 600.00 MeV   4.750E-02  1.874E-05    7.56 m    299.43 mm    52.42 mm  
 650.00 MeV   4.456E-02  1.744E-05    8.64 m    336.86 mm    59.37 mm  
 700.00 MeV   4.200E-02  1.631E-05    9.80 m    374.72 mm    66.71 mm  
 800.00 MeV   3.775E-02  1.445E-05   12.31 m    516.95 mm    82.53 mm  
 900.00 MeV   3.438E-02  1.299E-05   15.09 m    649.76 mm    99.87 mm  
   1.00 GeV   3.162E-02  1.180E-05   18.12 m    779.25 mm   118.67 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  4.0001E+01                keV / (ug/cm2) 
  4.0001E+01                MeV / (mg/cm2) 
  4.0001E+04                keV / (mg/cm2) 
  1.1691E+03                 eV / (1E15 atoms/cm2)
  8.4700E+00                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
